Serial Number,MY59420041,
Model Number,U1272A,
Remark,-,
Date Time,3/10/2021 2:06:20 PM
Record,Time,Function,Reading,Range,Unit
308,3/10/2021 12:30:45.082,Temperature {NONE},89.0, °C,°C
309,3/10/2021 12:30:46.084,Temperature {NONE},88.9, °C,°C
310,3/10/2021 12:30:47.086,Temperature {NONE},88.9, °C,°C
311,3/10/2021 12:30:48.087,Temperature {NONE},88.8, °C,°C
312,3/10/2021 12:30:49.087,Temperature {NONE},88.8, °C,°C
313,3/10/2021 12:30:50.088,Temperature {NONE},88.8, °C,°C
314,3/10/2021 12:30:51.090,Temperature {NONE},88.8, °C,°C
315,3/10/2021 12:30:52.091,Temperature {NONE},88.6, °C,°C
316,3/10/2021 12:30:53.093,Temperature {NONE},88.6, °C,°C
317,3/10/2021 12:30:54.093,Temperature {NONE},88.5, °C,°C
318,3/10/2021 12:30:55.095,Temperature {NONE},88.5, °C,°C
319,3/10/2021 12:30:56.097,Temperature {NONE},88.6, °C,°C
320,3/10/2021 12:30:57.099,Temperature {NONE},88.6, °C,°C
321,3/10/2021 12:30:58.100,Temperature {NONE},88.6, °C,°C
322,3/10/2021 12:30:59.101,Temperature {NONE},88.6, °C,°C
323,3/10/2021 12:31:00.103,Temperature {NONE},88.5, °C,°C
324,3/10/2021 12:31:01.105,Temperature {NONE},88.5, °C,°C
325,3/10/2021 12:31:02.106,Temperature {NONE},88.5, °C,°C
326,3/10/2021 12:31:03.108,Temperature {NONE},88.5, °C,°C
327,3/10/2021 12:31:04.109,Temperature {NONE},88.5, °C,°C
328,3/10/2021 12:31:05.111,Temperature {NONE},88.6, °C,°C
329,3/10/2021 12:31:06.112,Temperature {NONE},88.5, °C,°C
330,3/10/2021 12:31:07.112,Temperature {NONE},88.5, °C,°C
331,3/10/2021 12:31:08.113,Temperature {NONE},88.4, °C,°C
332,3/10/2021 12:31:09.114,Temperature {NONE},88.4, °C,°C
333,3/10/2021 12:31:10.115,Temperature {NONE},88.4, °C,°C
334,3/10/2021 12:31:11.116,Temperature {NONE},88.4, °C,°C
