Serial Number,MY59420041,
Model Number,U1272A,
Remark,-,
Date Time,3/10/2021 12:24:53 PM
Record,Time,Function,Reading,Range,Unit
223,3/10/2021 12:21:01.107,Temperature {NONE},75.2, °C,°C
224,3/10/2021 12:21:02.108,Temperature {NONE},75.3, °C,°C
225,3/10/2021 12:21:03.109,Temperature {NONE},75.5, °C,°C
226,3/10/2021 12:21:04.111,Temperature {NONE},75.7, °C,°C
227,3/10/2021 12:21:05.111,Temperature {NONE},75.8, °C,°C
228,3/10/2021 12:21:06.111,Temperature {NONE},76.2, °C,°C
229,3/10/2021 12:21:07.113,Temperature {NONE},76.6, °C,°C
230,3/10/2021 12:21:08.114,Temperature {NONE},76.9, °C,°C
231,3/10/2021 12:21:09.115,Temperature {NONE},77.0, °C,°C
232,3/10/2021 12:21:10.116,Temperature {NONE},77.2, °C,°C
233,3/10/2021 12:21:11.118,Temperature {NONE},77.7, °C,°C
234,3/10/2021 12:21:12.119,Temperature {NONE},77.8, °C,°C
235,3/10/2021 12:21:13.121,Temperature {NONE},77.9, °C,°C
236,3/10/2021 12:21:14.122,Temperature {NONE},78.3, °C,°C
237,3/10/2021 12:21:15.123,Temperature {NONE},78.7, °C,°C
238,3/10/2021 12:21:16.124,Temperature {NONE},79.0, °C,°C
239,3/10/2021 12:21:17.126,Temperature {NONE},79.3, °C,°C
240,3/10/2021 12:21:18.127,Temperature {NONE},79.5, °C,°C
241,3/10/2021 12:21:19.128,Temperature {NONE},79.8, °C,°C
242,3/10/2021 12:21:20.130,Temperature {NONE},80.0, °C,°C
243,3/10/2021 12:21:21.130,Temperature {NONE},80.2, °C,°C
244,3/10/2021 12:21:22.132,Temperature {NONE},80.4, °C,°C
245,3/10/2021 12:21:23.133,Temperature {NONE},80.6, °C,°C
246,3/10/2021 12:21:24.135,Temperature {NONE},80.8, °C,°C
247,3/10/2021 12:21:25.136,Temperature {NONE},81.0, °C,°C
248,3/10/2021 12:21:26.137,Temperature {NONE},81.1, °C,°C
249,3/10/2021 12:21:27.138,Temperature {NONE},81.5, °C,°C
250,3/10/2021 12:21:28.140,Temperature {NONE},81.8, °C,°C
251,3/10/2021 12:21:29.142,Temperature {NONE},82.1, °C,°C
252,3/10/2021 12:21:30.143,Temperature {NONE},82.4, °C,°C
253,3/10/2021 12:21:31.143,Temperature {NONE},82.9, °C,°C
254,3/10/2021 12:21:32.145,Temperature {NONE},83.1, °C,°C
255,3/10/2021 12:21:33.146,Temperature {NONE},83.3, °C,°C
256,3/10/2021 12:21:34.148,Temperature {NONE},83.4, °C,°C
257,3/10/2021 12:21:35.149,Temperature {NONE},83.5, °C,°C
258,3/10/2021 12:21:36.150,Temperature {NONE},83.6, °C,°C
259,3/10/2021 12:21:37.151,Temperature {NONE},83.8, °C,°C
260,3/10/2021 12:21:38.152,Temperature {NONE},84.0, °C,°C
261,3/10/2021 12:21:39.153,Temperature {NONE},84.6, °C,°C
262,3/10/2021 12:21:40.153,Temperature {NONE},84.9, °C,°C
263,3/10/2021 12:21:41.154,Temperature {NONE},85.0, °C,°C
264,3/10/2021 12:21:42.155,Temperature {NONE},85.2, °C,°C
265,3/10/2021 12:21:43.157,Temperature {NONE},85.5, °C,°C
266,3/10/2021 12:21:44.158,Temperature {NONE},85.8, °C,°C
267,3/10/2021 12:21:45.160,Temperature {NONE},86.0, °C,°C
268,3/10/2021 12:21:46.161,Temperature {NONE},86.1, °C,°C
269,3/10/2021 12:21:47.162,Temperature {NONE},86.2, °C,°C
270,3/10/2021 12:21:48.163,Temperature {NONE},86.4, °C,°C
271,3/10/2021 12:21:49.165,Temperature {NONE},86.6, °C,°C
272,3/10/2021 12:21:50.166,Temperature {NONE},86.6, °C,°C
273,3/10/2021 12:21:51.167,Temperature {NONE},86.8, °C,°C
274,3/10/2021 12:21:52.167,Temperature {NONE},87.3, °C,°C
275,3/10/2021 12:21:53.168,Temperature {NONE},87.7, °C,°C
276,3/10/2021 12:21:54.170,Temperature {NONE},88.0, °C,°C
277,3/10/2021 12:21:55.171,Temperature {NONE},88.1, °C,°C
278,3/10/2021 12:21:56.173,Temperature {NONE},88.4, °C,°C
279,3/10/2021 12:21:57.175,Temperature {NONE},88.6, °C,°C
280,3/10/2021 12:21:58.176,Temperature {NONE},88.8, °C,°C
281,3/10/2021 12:21:59.177,Temperature {NONE},89.1, °C,°C
282,3/10/2021 12:22:00.179,Temperature {NONE},89.2, °C,°C
283,3/10/2021 12:22:01.180,Temperature {NONE},89.3, °C,°C
284,3/10/2021 12:22:02.181,Temperature {NONE},89.5, °C,°C
285,3/10/2021 12:22:03.183,Temperature {NONE},89.7, °C,°C
286,3/10/2021 12:22:04.183,Temperature {NONE},91.1, °C,°C
287,3/10/2021 12:22:05.184,Temperature {NONE},91.0, °C,°C
288,3/10/2021 12:22:06.185,Temperature {NONE},91.2, °C,°C
289,3/10/2021 12:22:07.187,Temperature {NONE},91.5, °C,°C
290,3/10/2021 12:22:08.188,Temperature {NONE},91.6, °C,°C
291,3/10/2021 12:22:09.189,Temperature {NONE},91.7, °C,°C
292,3/10/2021 12:22:10.189,Temperature {NONE},92.1, °C,°C
293,3/10/2021 12:22:11.191,Temperature {NONE},92.2, °C,°C
294,3/10/2021 12:22:12.191,Temperature {NONE},92.4, °C,°C
295,3/10/2021 12:22:13.192,Temperature {NONE},92.6, °C,°C
296,3/10/2021 12:22:14.193,Temperature {NONE},92.9, °C,°C
297,3/10/2021 12:22:15.194,Temperature {NONE},93.1, °C,°C
298,3/10/2021 12:22:16.195,Temperature {NONE},93.5, °C,°C
299,3/10/2021 12:22:17.196,Temperature {NONE},93.9, °C,°C
300,3/10/2021 12:22:18.196,Temperature {NONE},94.3, °C,°C
301,3/10/2021 12:22:19.197,Temperature {NONE},94.5, °C,°C
302,3/10/2021 12:22:20.198,Temperature {NONE},94.7, °C,°C
303,3/10/2021 12:22:21.199,Temperature {NONE},94.9, °C,°C
304,3/10/2021 12:22:22.201,Temperature {NONE},95.2, °C,°C
305,3/10/2021 12:22:23.202,Temperature {NONE},95.5, °C,°C
306,3/10/2021 12:22:24.202,Temperature {NONE},95.8, °C,°C
307,3/10/2021 12:22:25.204,Temperature {NONE},96.1, °C,°C
308,3/10/2021 12:22:26.204,Temperature {NONE},96.3, °C,°C
309,3/10/2021 12:22:27.205,Temperature {NONE},96.5, °C,°C
310,3/10/2021 12:22:28.206,Temperature {NONE},96.8, °C,°C
311,3/10/2021 12:22:29.207,Temperature {NONE},96.9, °C,°C
312,3/10/2021 12:22:30.209,Temperature {NONE},97.2, °C,°C
313,3/10/2021 12:22:31.210,Temperature {NONE},97.3, °C,°C
314,3/10/2021 12:22:32.212,Temperature {NONE},97.5, °C,°C
315,3/10/2021 12:22:33.213,Temperature {NONE},97.7, °C,°C
316,3/10/2021 12:22:34.214,Temperature {NONE},97.9, °C,°C
317,3/10/2021 12:22:35.215,Temperature {NONE},98.0, °C,°C
